	_id	measurementTechniqueIRIs
70	vivli_316f3a94-b0eb-4925-8d8a-a108427f0a2b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
71	vivli_31712320-fc66-4fa4-8adb-978601309aaf	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
72	vivli_31a0311f-3e6e-41d7-92cd-10ca9d666038	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
73	vivli_31a90706-0ff6-43e3-93c0-c2882c8387d5	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
74	vivli_3205092a-3b03-4524-8bd2-198ca0fa85f7	['http://purl.obolibrary.org/obo/NCIT_C82640']
75	vivli_321ad452-fa80-442b-b847-56cbd880f0a6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
76	vivli_32755b14-c0a9-4284-878c-87a7e8d604bd	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
77	vivli_328a8b56-fe73-4658-b343-78bbe4736d75	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
78	vivli_329da63e-2a22-4f5c-bd66-d42647b2dc45	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
79	vivli_32b79b2d-d6c0-4e44-a42b-77240b8d1746	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
80	vivli_32f69278-58ab-4d28-aade-a6291afdbd96	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
81	vivli_336653b0-c789-4752-b2d8-8abebce6c02a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
82	vivli_337cad89-60a5-46cf-9ca3-f7e0a57a8cd9	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
83	vivli_33894b2c-2d21-4ccb-a540-e90b90767a99	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
84	vivli_339548e8-7057-474a-9d82-14cb61ef060b	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
85	vivli_33f3aa32-28ad-4b2f-8e18-7f6ff249576d	['http://purl.obolibrary.org/obo/NCIT_C82640']
86	vivli_3417cd71-2e25-455e-8abd-ae80bb2eddbb	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
87	vivli_3477a1b8-5781-4f57-85b3-897ae54ee305	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
88	vivli_349d7281-e263-4b84-911f-167fcd34a9ca	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
89	vivli_34cbb0d3-8fc8-48cb-9eae-d767742d7855	['http://purl.obolibrary.org/obo/NCIT_C82640']
90	vivli_34e883e4-bae8-4477-83af-456db1d1b41e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
91	vivli_350ea048-09cb-4d8f-b9b4-d893588d3576	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
92	vivli_3521702f-cddf-48fb-ad56-e2c1b289410a	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
93	vivli_356ad659-4f9f-4fc2-bdd0-c038382d9fad	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
94	vivli_356b3dd8-0ba8-4862-b20e-5658b8d2de9e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
95	vivli_359a041f-83b1-4cd4-9ffb-bd97e487ff29	['http://purl.obolibrary.org/obo/NCIT_C82640']
96	vivli_359b0a5c-8f44-415a-b7ed-b942d5d93bf5	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
