,source_id,map_method,target_id
82,http://purl.obolibrary.org/obo/NCIT_C6219,LOOM,http://www.ebi.ac.uk/efo/EFO_1000109
83,http://purl.obolibrary.org/obo/NCIT_C3052,LOOM,http://www.ebi.ac.uk/efo/EFO_0008549
84,http://purl.obolibrary.org/obo/NCIT_C122688,LOOM,http://www.ebi.ac.uk/efo/EFO_1002001
85,http://purl.obolibrary.org/obo/NCIT_C119034,LOOM,http://www.ebi.ac.uk/efo/EFO_0009731
86,http://purl.obolibrary.org/obo/NCIT_C98291,LOOM,http://www.ebi.ac.uk/efo/EFO_1000282
87,http://purl.obolibrary.org/obo/NCIT_C4126,LOOM,http://www.ebi.ac.uk/efo/EFO_1000304
88,http://purl.obolibrary.org/obo/NCIT_C7656,LOOM,http://www.ebi.ac.uk/efo/EFO_0007834
89,http://purl.obolibrary.org/obo/NCIT_C45665,LOOM,http://www.ebi.ac.uk/efo/EFO_1000483
90,http://purl.obolibrary.org/obo/NCIT_C4868,LOOM,http://www.ebi.ac.uk/efo/EFO_1000480
91,http://purl.obolibrary.org/obo/NCIT_C9282,LOOM,http://www.ebi.ac.uk/efo/EFO_0007329
92,http://purl.obolibrary.org/obo/NCIT_C3484,LOOM,http://www.ebi.ac.uk/efo/EFO_0006891
93,http://purl.obolibrary.org/obo/NCIT_C28491,LOOM,http://www.ebi.ac.uk/efo/EFO_0009832
94,http://purl.obolibrary.org/obo/NCIT_C7027,LOOM,http://www.ebi.ac.uk/efo/EFO_1001939
95,http://purl.obolibrary.org/obo/NCIT_C2922,LOOM,http://www.ebi.ac.uk/efo/EFO_1000529
96,http://purl.obolibrary.org/obo/NCIT_C94813,LOOM,http://www.ebi.ac.uk/efo/EFO_0004958
97,http://purl.obolibrary.org/obo/NCIT_C87093,LOOM,http://www.ebi.ac.uk/efo/EFO_1001037
98,http://purl.obolibrary.org/obo/NCIT_C27462,LOOM,http://www.ebi.ac.uk/efo/EFO_1000536
99,http://purl.obolibrary.org/obo/NCIT_C84807,LOOM,http://www.ebi.ac.uk/efo/EFO_1001011
100,http://purl.obolibrary.org/obo/NCIT_C114130,LOOM,http://www.ebi.ac.uk/efo/EFO_0009578
101,http://purl.obolibrary.org/obo/NCIT_C5501,LOOM,http://www.ebi.ac.uk/efo/EFO_1000154
102,http://purl.obolibrary.org/obo/NCIT_C2880,LOOM,http://www.ebi.ac.uk/efo/EFO_1000429
103,http://purl.obolibrary.org/obo/NCIT_C9349,LOOM,http://www.ebi.ac.uk/efo/EFO_0006738
104,http://purl.obolibrary.org/obo/NCIT_C7673,LOOM,http://www.ebi.ac.uk/efo/EFO_1000165
105,http://purl.obolibrary.org/obo/NCIT_C7550,LOOM,http://www.ebi.ac.uk/efo/EFO_0002917
106,http://purl.obolibrary.org/obo/NCIT_C42589,LOOM,http://www.ebi.ac.uk/efo/EFO_1000175
107,http://purl.obolibrary.org/obo/NCIT_C27293,LOOM,http://www.ebi.ac.uk/efo/EFO_1000250
108,http://purl.obolibrary.org/obo/NCIT_C123173,LOOM,http://www.ebi.ac.uk/efo/EFO_0008619
109,http://purl.obolibrary.org/obo/NCIT_C168988,LOOM,http://www.ebi.ac.uk/efo/EFO_1001422
110,http://purl.obolibrary.org/obo/NCIT_C6628,LOOM,http://www.ebi.ac.uk/efo/EFO_1000367
111,http://purl.obolibrary.org/obo/NCIT_C35472,LOOM,http://www.ebi.ac.uk/efo/EFO_0009529
112,http://purl.obolibrary.org/obo/NCIT_C6497,LOOM,http://www.ebi.ac.uk/efo/EFO_1000608
