	source_ontology	source_id	map_method	target_id
219	EFO	http://purl.obolibrary.org/obo/CHEBI_17234	LOOM	http://www.bioassayontology.org/bao#BAO_0000924
221	EFO	http://purl.obolibrary.org/obo/PR_000008266	LOOM	http://www.bioassayontology.org/bao#BAO_0200400
223	EFO	http://purl.obolibrary.org/obo/OBI_0400105	SAME_URI	http://purl.obolibrary.org/obo/OBI_0400105
224	EFO	http://purl.obolibrary.org/obo/OBI_0001142	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001142
225	EFO	http://purl.obolibrary.org/obo/OBI_1110122	SAME_URI	http://purl.obolibrary.org/obo/OBI_1110122
226	EFO	http://purl.obolibrary.org/obo/OBI_0001620	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001620
227	EFO	http://purl.obolibrary.org/obo/OBI_0001166	SAME_URI	http://purl.obolibrary.org/obo/OBI_0001166
233	EFO	http://purl.obolibrary.org/obo/OBI_1110021	SAME_URI	http://purl.obolibrary.org/obo/OBI_1110021
234	EFO	http://purl.obolibrary.org/obo/OBI_0000512	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000512
235	EFO	http://purl.obolibrary.org/obo/OBI_0000785	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000785
236	EFO	http://purl.obolibrary.org/obo/OBI_0000971	SAME_URI	http://purl.obolibrary.org/obo/OBI_0000971
237	EFO	http://purl.obolibrary.org/obo/OBI_0400118	SAME_URI	http://purl.obolibrary.org/obo/OBI_0400118
254	EFO	http://www.ebi.ac.uk/efo/EFO_0000726	LOOM	http://purl.obolibrary.org/obo/OBI_0001152
265	EFO	http://www.ebi.ac.uk/efo/EFO_0001747	LOOM	http://purl.obolibrary.org/obo/OBI_0001408
272	EFO	http://www.ebi.ac.uk/efo/EFO_0000663	REST	http://purl.obolibrary.org/obo/OBI_0600016
273	EFO	http://www.ebi.ac.uk/efo/EFO_0002759	REST	http://purl.obolibrary.org/obo/OBI_0001332
274	EFO	http://www.ebi.ac.uk/efo/EFO_0001772	REST	http://purl.obolibrary.org/obo/OBI_0001195
275	EFO	http://www.ebi.ac.uk/efo/EFO_0001785	REST	http://purl.obolibrary.org/obo/OBI_0001432
276	EFO	http://www.ebi.ac.uk/efo/EFO_0001757	REST	http://purl.obolibrary.org/obo/OBI_0001418
277	EFO	http://www.ebi.ac.uk/efo/EFO_0001746	REST	http://purl.obolibrary.org/obo/OBI_0100055
278	EFO	http://www.ebi.ac.uk/efo/EFO_0001728	REST	http://purl.obolibrary.org/obo/OBI_0001069
279	EFO	http://www.ebi.ac.uk/efo/EFO_0001747	REST	http://purl.obolibrary.org/obo/OBI_0001408
280	EFO	http://www.ebi.ac.uk/efo/EFO_0002762	REST	http://purl.obolibrary.org/obo/OBI_0001419
281	EFO	http://www.ebi.ac.uk/efo/EFO_0001747	REST	http://purl.obolibrary.org/obo/OBI_0001285
282	EFO	http://www.ebi.ac.uk/efo/EFO_0001746	REST	http://purl.obolibrary.org/obo/OBI_0001328
283	EFO	http://www.ebi.ac.uk/efo/EFO_0001754	REST	http://purl.obolibrary.org/obo/OBI_0001464
284	EFO	http://www.ebi.ac.uk/efo/EFO_0000541	REST	http://purl.obolibrary.org/obo/OBI_0000690
285	EFO	http://www.ebi.ac.uk/efo/EFO_0000469	REST	http://purl.obolibrary.org/obo/OBI_0000997
286	EFO	http://www.ebi.ac.uk/efo/EFO_0001755	REST	http://purl.obolibrary.org/obo/OBI_0000951
287	EFO	http://www.ebi.ac.uk/efo/EFO_0002765	REST	http://purl.obolibrary.org/obo/OBI_0001318
288	EFO	http://www.ebi.ac.uk/efo/EFO_0001775	REST	http://purl.obolibrary.org/obo/OBI_0500010
289	EFO	http://www.ebi.ac.uk/efo/EFO_0001756	REST	http://purl.obolibrary.org/obo/OBI_0001293
290	EFO	http://www.ebi.ac.uk/efo/EFO_0001774	REST	http://purl.obolibrary.org/obo/OBI_0001336
291	EFO	http://www.ebi.ac.uk/efo/EFO_0002769	REST	http://purl.obolibrary.org/obo/OBI_0001235
292	EFO	http://www.ebi.ac.uk/efo/EFO_0002796	REST	http://purl.obolibrary.org/obo/OBI_1110035
293	EFO	http://www.ebi.ac.uk/efo/EFO_0001777	REST	http://purl.obolibrary.org/obo/OBI_0500019
294	EFO	http://www.ebi.ac.uk/efo/EFO_0003942	REST	http://purl.obolibrary.org/obo/OBI_0100058
295	EFO	http://purl.obolibrary.org/obo/CL_0000232	REST	http://purl.obolibrary.org/obo/OBI_0001211
296	EFO	http://www.ebi.ac.uk/efo/EFO_0002764	REST	http://purl.obolibrary.org/obo/OBI_0001221
297	EFO	http://www.ebi.ac.uk/efo/EFO_0001761	REST	http://purl.obolibrary.org/obo/OBI_0001454
298	EFO	http://www.ebi.ac.uk/efo/EFO_0002771	REST	http://purl.obolibrary.org/obo/OBI_0001247
299	EFO	http://www.ebi.ac.uk/efo/EFO_0001743	REST	http://purl.obolibrary.org/obo/OBI_0001205
300	EFO	http://www.ebi.ac.uk/efo/EFO_0000735	REST	http://purl.obolibrary.org/obo/OBI_0302888
301	EFO	http://www.ebi.ac.uk/efo/EFO_0002698	REST	http://purl.obolibrary.org/obo/OBI_0400147
302	EFO	http://www.ebi.ac.uk/efo/EFO_0001750	REST	http://purl.obolibrary.org/obo/OBI_0001422
303	EFO	http://www.ebi.ac.uk/efo/EFO_0000790	REST	http://purl.obolibrary.org/obo/OBI_0302745
