	target_id	map_method	source_id	source_ontology
105	http://www.bioassayontology.org/bao#BAO_0000696	LOOM	http://purl.obolibrary.org/obo/NCIT_C29321	BAO
106	http://purl.obolibrary.org/obo/CHEBI_37890	LOOM	http://purl.obolibrary.org/obo/NCIT_C29713	BAO
107	http://purl.obolibrary.org/obo/DOID_5375	LOOM	http://purl.obolibrary.org/obo/NCIT_C7367	BAO
108	http://purl.obolibrary.org/obo/DOID_1089	LOOM	http://purl.obolibrary.org/obo/NCIT_C99080	BAO
109	http://purl.obolibrary.org/obo/DOID_3923	LOOM	http://purl.obolibrary.org/obo/NCIT_C6504	BAO
110	http://purl.obolibrary.org/obo/DOID_0050938	LOOM	http://purl.obolibrary.org/obo/NCIT_C3771	BAO
111	http://purl.obolibrary.org/obo/DOID_7334	LOOM	http://purl.obolibrary.org/obo/NCIT_C7413	BAO
112	http://purl.obolibrary.org/obo/DOID_12308	LOOM	http://purl.obolibrary.org/obo/NCIT_C34741	BAO
113	http://purl.obolibrary.org/obo/DOID_1270	LOOM	http://purl.obolibrary.org/obo/NCIT_C35064	BAO
114	http://purl.obolibrary.org/obo/DOID_401	LOOM	http://purl.obolibrary.org/obo/NCIT_C128415	BAO
115	http://purl.obolibrary.org/obo/DOID_6179	LOOM	http://purl.obolibrary.org/obo/NCIT_C27390	BAO
116	http://purl.obolibrary.org/obo/DOID_4479	LOOM	http://purl.obolibrary.org/obo/NCIT_C85034	BAO
117	http://purl.obolibrary.org/obo/PATO_0001323	LOOM	http://purl.obolibrary.org/obo/NCIT_C25244	BAO
118	http://purl.obolibrary.org/obo/CHEBI_24527	LOOM	http://purl.obolibrary.org/obo/NCIT_C541	BAO
119	http://purl.obolibrary.org/obo/CHEBI_48878	LOOM	http://purl.obolibrary.org/obo/NCIT_C66886	BAO
120	http://purl.obolibrary.org/obo/DOID_4972	LOOM	http://purl.obolibrary.org/obo/NCIT_C27262	BAO
